rank,team,week,record
25,Boise State,6,4-1
21,Boise State,7,5-1
,Boise State,8,
,Boise State,9,
,Boise State,10,
,Boise State,11,
,Boise State,12,
,Boise State,13,
,Boise State,14,
,Boise State,15,
